official_page_name,normalized_name,economy_code,world_bank_name,mapping_method,status
Trinidad and Tobago,trinidad and tobago,TTO,Trinidad and Tobago,NORMALIZED_EXACT,MAPPED
"Virgin Islands, British",virgin islands british,VGB,British Virgin Islands,EXPLICIT_CODE_ALIAS,MAPPED
Bahrain,bahrain,BHR,Bahrain,NORMALIZED_EXACT,MAPPED
Iraq,iraq,IRQ,Iraq,NORMALIZED_EXACT,MAPPED
Jordan,jordan,JOR,Jordan,NORMALIZED_EXACT,MAPPED
Kuwait,kuwait,KWT,Kuwait,NORMALIZED_EXACT,MAPPED
Lebanon,lebanon,LBN,Lebanon,NORMALIZED_EXACT,MAPPED
Oman,oman,OMN,Oman,NORMALIZED_EXACT,MAPPED
Qatar,qatar,QAT,Qatar,NORMALIZED_EXACT,MAPPED
Saudi Arabia,saudi arabia,SAU,Saudi Arabia,NORMALIZED_EXACT,MAPPED
Syrian Arab Republic,syrian arab republic,SYR,Syrian Arab Republic,EXPLICIT_CODE_ALIAS,MAPPED
United Arab Emirates,united arab emirates,ARE,United Arab Emirates,NORMALIZED_EXACT,MAPPED
West Bank and Gaza,west bank and gaza,PSE,West Bank and Gaza,EXPLICIT_CODE_ALIAS,MAPPED
Albania,albania,ALB,Albania,NORMALIZED_EXACT,MAPPED
Australia,australia,AUS,Australia,NORMALIZED_EXACT,MAPPED
Austria,austria,AUT,Austria,NORMALIZED_EXACT,MAPPED
Belgium,belgium,BEL,Belgium,NORMALIZED_EXACT,MAPPED
Bosnia and Herzegovina,bosnia and herzegovina,BIH,Bosnia and Herzegovina,NORMALIZED_EXACT,MAPPED
Bulgaria,bulgaria,BGR,Bulgaria,NORMALIZED_EXACT,MAPPED
Canada,canada,CAN,Canada,NORMALIZED_EXACT,MAPPED
Chile,chile,CHL,Chile,NORMALIZED_EXACT,MAPPED
Colombia,colombia,COL,Colombia,NORMALIZED_EXACT,MAPPED
Costa Rica,costa rica,CRI,Costa Rica,NORMALIZED_EXACT,MAPPED
Croatia,croatia,HRV,Croatia,NORMALIZED_EXACT,MAPPED
Cyprus,cyprus,CYP,Cyprus,NORMALIZED_EXACT,MAPPED
Czechia,czechia,CZE,Czechia,EXPLICIT_CODE_ALIAS,MAPPED
Denmark,denmark,DNK,Denmark,NORMALIZED_EXACT,MAPPED
Estonia,estonia,EST,Estonia,NORMALIZED_EXACT,MAPPED
Finland,finland,FIN,Finland,NORMALIZED_EXACT,MAPPED
France,france,FRA,France,NORMALIZED_EXACT,MAPPED
Georgia,georgia,GEO,Georgia,NORMALIZED_EXACT,MAPPED
Germany,germany,DEU,Germany,NORMALIZED_EXACT,MAPPED
Greece,greece,GRC,Greece,NORMALIZED_EXACT,MAPPED
Hungary,hungary,HUN,Hungary,NORMALIZED_EXACT,MAPPED
Iceland,iceland,ISL,Iceland,NORMALIZED_EXACT,MAPPED
Ireland,ireland,IRL,Ireland,NORMALIZED_EXACT,MAPPED
Israel,israel,ISR,Israel,NORMALIZED_EXACT,MAPPED
Italy,italy,ITA,Italy,NORMALIZED_EXACT,MAPPED
Japan,japan,JPN,Japan,NORMALIZED_EXACT,MAPPED
"Korea, Rep",korea rep,KOR,"Korea, Rep.",EXPLICIT_CODE_ALIAS,MAPPED
Kosovo,kosovo,XKX,Kosovo,EXPLICIT_CODE_ALIAS,MAPPED
Latvia,latvia,LVA,Latvia,NORMALIZED_EXACT,MAPPED
Lithuania,lithuania,LTU,Lithuania,NORMALIZED_EXACT,MAPPED
Luxembourg,luxembourg,LUX,Luxembourg,NORMALIZED_EXACT,MAPPED
Malta,malta,MLT,Malta,NORMALIZED_EXACT,MAPPED
Mexico,mexico,MEX,Mexico,NORMALIZED_EXACT,MAPPED
Montenegro,montenegro,MNE,Montenegro,NORMALIZED_EXACT,MAPPED
Netherlands,netherlands,NLD,Netherlands,NORMALIZED_EXACT,MAPPED
New Zealand,new zealand,NZL,New Zealand,NORMALIZED_EXACT,MAPPED
North Macedonia,north macedonia,MKD,North Macedonia,NORMALIZED_EXACT,MAPPED
Norway,norway,NOR,Norway,NORMALIZED_EXACT,MAPPED
Poland,poland,POL,Poland,NORMALIZED_EXACT,MAPPED
Portugal,portugal,PRT,Portugal,NORMALIZED_EXACT,MAPPED
Romania,romania,ROU,Romania,NORMALIZED_EXACT,MAPPED
Serbia,serbia,SRB,Serbia,NORMALIZED_EXACT,MAPPED
Slovak Republic,slovak republic,SVK,Slovak Republic,EXPLICIT_CODE_ALIAS,MAPPED
Slovenia,slovenia,SVN,Slovenia,NORMALIZED_EXACT,MAPPED
Spain,spain,ESP,Spain,NORMALIZED_EXACT,MAPPED
Sweden,sweden,SWE,Sweden,NORMALIZED_EXACT,MAPPED
Switzerland,switzerland,CHE,Switzerland,NORMALIZED_EXACT,MAPPED
Türkiye,turkiye,TUR,Turkiye,EXPLICIT_CODE_ALIAS,MAPPED
Ukraine,ukraine,UKR,Ukraine,NORMALIZED_EXACT,MAPPED
United Kingdom,united kingdom,GBR,United Kingdom,NORMALIZED_EXACT,MAPPED
United States,united states,USA,United States,NORMALIZED_EXACT,MAPPED
