economy_code,source_id,direct_categories_compared,comparison_count,median_supplemental_to_source90_nominal_ratio,status
MEX,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.019939296732749906921407484,PASS_COMPATIBLE_SCALE
MEX,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.019939237858152192907967186,PASS_COMPATIBLE_SCALE
MLT,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.082203450917655573436499203,PASS_COMPATIBLE_SCALE
MLT,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000507046852501009069992452,PASS_COMPATIBLE_SCALE
MNE,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.039546511770744438753303444,PASS_COMPATIBLE_SCALE
MNE,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000013435215787691496993150,PASS_COMPATIBLE_SCALE
MNG,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.097666612736325629719619360,PASS_COMPATIBLE_SCALE
MSR,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.255363508338112376366452099,PASS_COMPATIBLE_SCALE
MYS,UNDATA_SNA_TABLE32,CP01|CP03|CP05|CP07|CP08|CP11,6,1.000047845488996556902180312,PASS_COMPATIBLE_SCALE
NAM,UNDATA_SNA_TABLE32,CP01|CP03|CP07,3,1.680560779367821862200795966,PASS_COMPATIBLE_SCALE
NLD,EUROSTAT_NAMA_10_CP18,CP01|CP03|CP05|CP07|CP08|CP11,6,1.110622560052984484896117342,PASS_COMPATIBLE_SCALE
NLD,OECD_TABLE5A_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1.110622560052984484896117342,PASS_COMPATIBLE_SCALE
NLD,OECD_TABLE5_T501,CP01|CP03|CP05|CP07|CP08|CP11,6,1,PASS_COMPATIBLE_SCALE
