economy_code,heading_code,ppp,nominal_expenditure,published_real_expenditure,calculated_real_expenditure,relative_error,tolerance,status
ARE,1111000,2.8732225894928,28.7682061202894,10.0125226028408,10.01252260284078842083754043,0.000000000000001156468046951994452648603675,0.005,PASS
ARE,9020000,2.64981722831726,795.503043741738,300.210533481554,300.2105334815542251986755165,0.0000000000000007501358227003617292646757595,0.005,PASS
ARE,9060000,1.74655044078827,256.657985682232,146.951373225954,146.9513732259542650409667135,0.000000000000001803596393114137018578848420,0.005,PASS
ARE,9080000,2.02966475486755,63.6813257289706,31.3752926813405,31.37529268134049926666019735,0.00000000000000002337316212785901814789397484,0.005,PASS
ARE,9100000,2.7276017665863,623.084413864919,228.436724707336,228.4367247073363818551247702,0.000000000000001671601294666685145754609910,0.005,PASS
ARE,9110000,3.51541090011597,32.3508904004778,9.20259148067459,9.202591480674585001140597356,0.0000000000000005432012725047707815430492932,0.005,PASS
ARE,9120000,2.56107902526855,86.9646341751701,33.9562478616025,33.95624786160245470628016283,0.000000000000001333884710165160449266444081,0.005,PASS
ARE,9140000,2.88882613182068,64.0762276156917,22.1807144811819,22.18071448118191756954292930,0.0000000000000007921089712509480175626202163,0.005,PASS
ARG,1000000,38.783332824707,46282.0647383523,1193.34934281017,1193.349342810172770587396794,0.000000000000002321690134985666505138662546,0.005,PASS
ARG,1101000,68.1541366577148,7852.88074783694,115.222364084455,115.2223640844553564682451863,0.000000000000003093741809749867963632258935,0.005,PASS
ARG,1102000,44.4675941467285,1018.90147694178,22.9133483943327,22.91334839433270799679769620,0.0000000000000003490017067159812126136693460,0.005,PASS
ARG,1102100,74.4535598754883,669.857967214977,8.99699045062731,8.996990450627311519977991970,0.0000000000000001689429371200477828800210436,0.005,PASS
ARG,1102200,22.1752796173096,349.043509726807,15.7402078237765,15.74020782377644963960495755,0.000000000000003199474594381002537126612342,0.005,PASS
ARG,1103000,114.68302154541,1133.10586964924,9.8803280065356,9.880328006535599563211878088,0.00000000000000004420785642167700642837846646,0.005,PASS
ARG,1105000,75.042236328125,2262.45205402048,30.1490489186359,30.14904891863594421110507429,0.000000000000001466417902389019728342689684,0.005,PASS
ARG,1107000,66.8511352539063,3190.32336433913,47.7228001023769,47.72280010237687662843519485,0.0000000000000004897358234431417388951155949,0.005,PASS
ARG,1108000,39.6831398010254,1256.46558160285,31.662453825551,31.66245382555095400609606127,0.000000000000001452632325723718590800857838,0.005,PASS
