economy_code,armilar_category,chosen_source_id,candidate_source_id,chosen_value_lcu,candidate_value_lcu,relative_difference,candidate_complete_proxy_set,candidate_missing_proxy_categories,selection_basis,status
AZE,CP06,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,1919000000,1919000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AZE,CP09,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,2148200000,2148200000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AZE,CP10,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,716300000,716300000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
AZE,CP12,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,1609800000,1609800000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BEL,CP04,OECD_TABLE5_T501,OECD_TABLE5_T501,59726000000,59726000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BEL,CP06,OECD_TABLE5_T501,OECD_TABLE5_T501,16204200000.0,16204200000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BEL,CP09,OECD_TABLE5_T501,OECD_TABLE5_T501,17981600000.0,17981600000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BEL,CP10,OECD_TABLE5_T501,OECD_TABLE5_T501,875500000.0,875500000.0,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BEL,CP12,OECD_TABLE5_T501,OECD_TABLE5_T501,32924000000,32924000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BEL,CP04,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,59726000000,59726000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP06,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,16204200000.0,16204000000,0.00001234247911035410572567605929,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP09,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,17981600000.0,17982000000,0.00002224446668891113335557780002,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP10,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,875500000.0,876000000,0.0005707762557077625570776255708,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP12,OECD_TABLE5_T501,UNDATA_SNA_TABLE32,32924000000,32924000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP04,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,59726000000,60429400000.0,0.01164002952205383472283358762,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP06,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,16204200000.0,18364600000.0,0.1176393713993226098036439672,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BEL,CP09,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,17981600000.0,15219300000.0,0.1536181429906126262401566045,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BEL,CP10,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,875500000.0,800900000.0,0.08520845231296402055968018275,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BEL,CP12,OECD_TABLE5_T501,EUROSTAT_NAMA_10_CP18,32924000000,32736700000.0,0.005688859190863807556797472968,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP04,OECD_TABLE5_T501,OECD_TABLE5A_T501,59726000000,60429400000.0,0.01164002952205383472283358762,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BEL,CP06,OECD_TABLE5_T501,OECD_TABLE5A_T501,16204200000.0,18364600000.0,0.1176393713993226098036439672,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BEL,CP09,OECD_TABLE5_T501,OECD_TABLE5A_T501,17981600000.0,15219300000.0,0.1536181429906126262401566045,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BEL,CP10,OECD_TABLE5_T501,OECD_TABLE5A_T501,875500000.0,800900000.0,0.08520845231296402055968018275,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_DIVERGENT
BEL,CP12,OECD_TABLE5_T501,OECD_TABLE5A_T501,32924000000,32736700000.0,0.005688859190863807556797472968,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,ALTERNATIVE_CONSISTENT
BFA,CP04,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,927354000000,927354000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BFA,CP06,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,245364000000,245364000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BFA,CP09,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,119399000000,119399000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BFA,CP10,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,50848400000,50848400000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BFA,CP12,UNDATA_SNA_TABLE32,UNDATA_SNA_TABLE32,106071000000,106071000000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BGR,CP04,OECD_TABLE5_T501,OECD_TABLE5_T501,8037810000.00,8037810000.00,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
BGR,CP06,OECD_TABLE5_T501,OECD_TABLE5_T501,3015893000.000,3015893000.000,0,true,,ONE_COMPLETE_SOURCE_PER_ECONOMY_NO_PROVIDER_MIXING,SELECTED_SINGLE_SOURCE_ECONOMY
