economy_code,economy_name,icp_participation_status,eligible_complete_12_category_matrix,included_in_observed_research_weights,official_imputation_category_detail_available,participation_status_basis
ISR,Israel,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
ITA,Italy,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
JAM,Jamaica,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
JOR,Jordan,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
JPN,Japan,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
KAZ,Kazakhstan,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
KEN,Kenya,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
KGZ,Kyrgyz Republic,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
KHM,Cambodia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
KNA,St. Kitts and Nevis,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
KOR,"Korea, Rep.",PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
KWT,Kuwait,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LAO,Lao PDR,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LBN,Lebanon,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LBR,Liberia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LBY,Libya,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
LCA,St. Lucia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LCB,Latin America & Caribbean (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
LIB,Low income (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
LKA,Sri Lanka,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LMB,Lower middle income (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
LSO,Lesotho,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LTU,Lithuania,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LUX,Luxembourg,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
LVA,Latvia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MAC,"Macao SAR, China",OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
MAR,Morocco,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MDA,Moldova,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MDG,Madagascar,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MDV,Maldives,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MEB,Middle East & North Africa (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
MEX,Mexico,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MKD,North Macedonia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MLI,Mali,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MLT,Malta,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MMR,Myanmar,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,false,false,false,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
MNE,Montenegro,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MNG,Mongolia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MOZ,Mozambique,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MRT,Mauritania,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MSR,Montserrat,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MUS,Mauritius,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MWI,Malawi,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
MYS,Malaysia,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NAB,North America (Benchmark),AGGREGATE,false,false,,SOURCE90_AGGREGATE
NAM,Namibia,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NER,Niger,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NGA,Nigeria,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NIC,Nicaragua,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NLD,Netherlands,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NOR,Norway,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NPL,Nepal,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
NZL,New Zealand,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
OMN,Oman,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
PAK,Pakistan,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
PAN,Panama,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
PER,Peru,PARTICIPATING,false,false,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
PHL,Philippines,PARTICIPATING,true,true,,OFFICIAL_ICP_2021_PARTICIPATION_LIST
