economy_code,economy_name,armilar_category,heading_code,reason,data_status,included_in_candidate_weights
JOR,Jordan,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JOR,Jordan,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JOR,Jordan,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JOR,Jordan,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JOR,Jordan,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JPN,Japan,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JPN,Japan,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JPN,Japan,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JPN,Japan,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
JPN,Japan,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KAZ,Kazakhstan,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KAZ,Kazakhstan,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KAZ,Kazakhstan,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KAZ,Kazakhstan,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KAZ,Kazakhstan,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KEN,Kenya,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KEN,Kenya,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KEN,Kenya,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KEN,Kenya,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KEN,Kenya,CP12,1112000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KGZ,Kyrgyz Republic,CP04,1104000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KGZ,Kyrgyz Republic,CP06,1106000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KGZ,Kyrgyz Republic,CP09,1109000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
KGZ,Kyrgyz Republic,CP10,1110000,MISSING_REQUIRED_DIRECT_REAL_HEADING,UNAVAILABLE,false
