research_core_id,basket_version,economy_code,economy_name,category_code,raw_world_weight,fixed_universe_weight,covered_world_weight,normalization_rule,weight_source,weight_source_version,numerator_source_id,numerator_source_file,numerator_source_hash,ppp_source_heading,ppp_scope,derivation,quality_flags,rounding_residual_applied,evidence_class,status
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP09,0.001426587346826299701670,0.008907773582770129359089059,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9110000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP10,0.000686159100313469736211,0.004284455432012082811397934,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9120000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP11,0.003032482570135541905206,0.018935165931871460915129865,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1111000/page_0001.json,5808095da0497759e9af18ff6bd3270ad9bbea5334e3cb7613ea7bb184051ca9,1111000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,ESP,Spain,CP12,0.002779968118871360347747,0.017358436989726532399558344,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9140000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,FRA,France,CP01,0.004575129674005644710663,0.028567629832495213894953067,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1101000/page_0001.json,82e3557962d2a937db6c3a3bfb4f7e2d1b239274b612b37e07afbe23e71f55bd,1101000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,FRA,France,CP02,0.001239655395657242884896,0.007740549227315259808206874,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1102100/page_0001.json|raw/world_bank_icp_2021/data/1102200/page_0001.json,a8559c00c26318bdf8735f06d1f95a39a287275b83e0abe4e72f8d1468f670fb|017d2a7d67fc3e7ca16ec34ad465577f7be5d50dd440a8043988ec52f60819c1,1102100+1102200,STRICT_HFCE_COMPOSITE,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,OBSERVED_PARTICIPANT|STRICT_HFCE|NARCOTICS_EXCLUDED|NO_DOUBLE_COUNTING,0,OFFICIAL_DETERMINISTIC_DERIVATION,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,FRA,France,CP03,0.001046851947498655366021,0.006536662577125328246081726,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1103000/page_0001.json,67312784b54abe10080b54d9d1e53ab8e11fb5a40934da427c6291d308accc4a,1103000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,FRA,France,CP04,0.012482521379333582359873,0.077942282634537932465287727,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9060000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,FRA,France,CP05,0.001640880592902290525258,0.010245844974338551242051055,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,WORLD_BANK_ICP_2021_SOURCE90,raw/world_bank_icp_2021/data/1105000/page_0001.json,7e43e4eeed0876023a091f8cc1e6be2b171e87a4f49b2b32e8511bda700f9167,1105000,STRICT_HFCE,DIRECT_SOURCE90_HFCE,OBSERVED_PARTICIPANT|STRICT_HFCE|NO_DOUBLE_COUNTING,0,EXACT_OFFICIAL,RESEARCH_ONLY
ARMILAR_RESEARCH_CORE_V1,0.3.0-draft,FRA,France,CP06,0.003078000085004712034752,0.019219382469615860759567445,0.160150831582167491646292,FIXED_UNIVERSE_NORMALISE_ONCE,public/latest/weights_observed_universe.csv,0.9.4,OECD_TABLE5_T501,raw/supplemental_nominal_hfce/OECD_TABLE5_T501/oecd_table5_t501.csv,e46dce7f39f5c14fa41a64b99ca4915118926ed6c5b7b99a399a91c50e5a131c,9080000,ACTUAL_CONSUMPTION_PROXY_RATIFIED_OPTION_B,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,OBSERVED_PARTICIPANT|STRICT_HOUSEHOLD_NUMERATOR|PROXY_PPP_ACTUAL_CONSUMPTION_RATIFIED|NO_GOVERNMENT_OR_NPISH_IN_NUMERATOR|NATIONAL_ACCOUNTS_CURRENT_VINTAGE_MAY_DIFFER_FROM_ICP_2021_VINTAGE,0,EXPERIMENTAL_RESEARCH,RESEARCH_ONLY
