economy_code,economy_name,category_code,real_expenditure_central,real_expenditure_lower,real_expenditure_upper,evidence_class,method_id,model_version,source_ids,donor_economies,source_state,transformation_method,core_eligible,global_eligible,validation_mae,validation_bias,notes
AZE,Azerbaijan,CP02,4987938026.5937119,4987938026.5937119,4987938026.5937119,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,1102100+1102200|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP03,4090221251.0656428,4090221251.0656428,4090221251.0656428,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1103000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP04,30043897167.377571,30043897167.377571,30043897167.377571,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9060000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP05,3024795604.2718158,3024795604.2718158,3024795604.2718158,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1105000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP06,11151308316.719507,11151308316.719507,11151308316.719507,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9080000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP07,5964451085.4338531,5964451085.4338531,5964451085.4338531,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1107000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP08,5907064859.5925035,5907064859.5925035,5907064859.5925035,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1108000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP09,3217030902.1853714,3217030902.1853714,3217030902.1853714,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9110000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP10,4303311358.4493876,4303311358.4493876,4303311358.4493876,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9120000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP11,3023436785.9367919,3023436785.9367919,3023436785.9367919,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1111000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
AZE,Azerbaijan,CP12,3536777643.3645597,3536777643.3645597,3536777643.3645597,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,9140000|UNDATA_SNA_TABLE32,,STRICT_MATRIX_ACCEPTED,STRICT_S14_P31DC_NUMERATOR_DIVIDED_BY_ACTUAL_CONSUMPTION_PPP,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP01,34953295116.167168,34953295116.167168,34953295116.167168,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1101000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP02,11545559860.546209,11545559860.546209,11545559860.546209,B_OFFICIAL_DETERMINISTIC,strict-official-deterministic,strict-staging-v0.7.1,1102100+1102200|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,ALCOHOL_PLUS_TOBACCO_EXCLUDING_NARCOTICS,true,true,,,Converted from strict Step 2 matrix without changing value.
BEL,Belgium,CP03,11165536589.165602,11165536589.165602,11165536589.165602,A_OFFICIAL_EXACT,strict-source90-direct,strict-staging-v0.7.1,1103000|WORLD_BANK_ICP_2021_SOURCE90,,STRICT_MATRIX_ACCEPTED,DIRECT_SOURCE90_HFCE,true,true,,,Converted from strict Step 2 matrix without changing value.
