scope,economy_code,category_code,evidence_class,cell_count,central_expenditure,core_eligible_cells,global_eligible_cells
economy,SVK,*,A_OFFICIAL_EXACT,6,31380215794.9649137,6,6
economy,SVK,*,B_OFFICIAL_DETERMINISTIC,6,65999330832.7102782,6,6
economy,SVN,*,A_OFFICIAL_EXACT,6,17552993239.9185678,6,6
economy,SVN,*,B_OFFICIAL_DETERMINISTIC,6,26140911053.79285407,6,6
economy,SWE,*,A_OFFICIAL_EXACT,6,97759996159.6603205,6,6
economy,SWE,*,B_OFFICIAL_DETERMINISTIC,6,152963274716.6921848,6,6
economy,SWZ,*,A_OFFICIAL_EXACT,6,3128155576.140750934,6,6
economy,SWZ,*,B_OFFICIAL_DETERMINISTIC,6,3594445470.853207638,6,6
economy,TUR,*,A_OFFICIAL_EXACT,6,538718035408.300635,6,6
economy,TUR,*,B_OFFICIAL_DETERMINISTIC,6,969187443836.730560,6,6
economy,USA,*,A_OFFICIAL_EXACT,6,5197362000445.42204,6,6
economy,USA,*,B_OFFICIAL_DETERMINISTIC,6,10486166062914.15601,6,6
global,*,*,A_OFFICIAL_EXACT,372,14645626317956.53654115432,372,372
global,*,*,B_OFFICIAL_DETERMINISTIC,372,26620255896620.7744143018,372,372
